author;prize;short;long;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Слава Харченко;1;0;0;;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Тамара Черемнова;1;0;0;;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Алексей Черепанов;1;0;0;;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
DJ Stalingrad;1;0;0;;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;
Александр Терехов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;
Александр Пелевин;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;
Эдуард Лимонов;0;1;0;;5;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;5;6;6;6;6;6;6;6;6;6;6;6;7;8;8;8;8;8;8;8;8;8;
Анна Матвеева;0;1;0;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;;0;1;1;1;1;1;1;1;1;1;1;1;2;2;7;8;8;8;8;8;8;8;
Снегирев Александр;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;7;7;7;7;7;8;
Рябов Кирилл;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;3;8;
Павел Крусанов;0;1;0;;1;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;2;2;7;7;7;7;7;7;7;7;7;
Абузяров Ильдар;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;1;6;6;6;7;7;7;7;7;7;7;
