author;prize;short;long;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Марина Палей;0;1;0;;5;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;5;5;5;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;
Илья Бояшов;0;1;0;;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;0;0;5;5;5;5;5;5;5;5;5;5;5;5;6;7;7;7;
Сухбат Афлатуни;0;1;0;;0;0;0;0;1;0;0;0;0;1;0;0;0;5;0;0;0;0;;0;0;0;0;1;1;1;1;1;2;2;2;2;7;7;7;7;7;
Эдуард Веркин;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;7;
Петр Алешковский;0;1;0;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;
Дмитрий Бавильский;0;1;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;
Игорь Ефимов;0;1;0;;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;
Игорь Сахновский;0;1;0;;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;
Виктор Строгальщиков;0;1;0;;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;
Михаил Елизаров;0;1;0;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;6;
Евгений Гришковец;0;1;0;;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;;0;0;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;
Олег Зайончковский;0;1;0;;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;5;6;6;6;6;6;6;6;6;6;6;6;6;6;
Олег Павлов;0;1;0;;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;5;5;6;6;6;6;6;6;6;6;6;6;6;6;
Наринэ Абгарян;0;1;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;6;6;6;
Понизовский Антон;0;1;0;;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;;0;0;0;0;0;0;0;5;5;5;5;5;6;6;6;6;6;6;
Алексей Винокуров;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;5;5;6;6;6;6;
Андрей Филимонов;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;6;6;
Алексей Коровашко;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;6;6;6;
Линор Горалик;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;6;6;
Павел Селуков;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;6;6;
Дмитрий Захаров;0;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;6;
Юрий Волков;0;1;0;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Далия Трускиновская;0;1;0;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Борис Минаев;0;0;0;;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;;1;1;2;2;2;2;2;2;2;2;3;3;4;4;4;5;5;5;
Руслан Киреев;0;1;0;;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Владимир Костин;0;1;0;;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Алла Марченко;0;1;0;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Владимир Орлов;0;1;0;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Мариам Петросян;0;1;0;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Борис Хазанов;0;1;0;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Вадим Ярмолинец;0;1;0;;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Александр Мелихов;0;0;0;;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;;0;0;0;1;1;2;2;2;2;3;3;4;4;4;4;4;4;5;
Евгений Клюев;0;1;0;;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Герман Садулаев;0;1;0;;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Асар Эппель;0;1;0;;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Губайловский Владимир;0;1;0;;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;
